times,original_data,rebuilt_data
1,63.53,71.70
2,57.79,65.21
3,64.90,71.58
4,61.38,70.27
5,63.92,71.72
6,63.80,70.87
7,63.95,71.28
8,62.85,70.64
9,64.38,71.83
10,52.55,59.83
avg,61.91,69.49
