times,original_data,rebuilt_data
1,59.83,68.89
2,62.38,71.82
3,59.47,68.78
4,55.34,66.04
5,64.55,74.10
6,59.74,70.34
7,64.53,73.75
8,62.31,72.56
9,64.17,74.16
10,64.23,73.41
avg,61.66,71.39
